DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2017-2018 Regular Season,01/22/2018,Emmanuel Mudiay,PG,Denver,Portland,H,11.4,0,4,0,2,1,2,0,1,1,0,0,0,1,0,1
2017-2018 Regular Season,01/22/2018,Nemanja Bjelica,PF,Minnesota,LA Clippers,R,34.8,6,13,3,9,3,4,3,6,9,4,5,1,3,0,18
2017-2018 Regular Season,01/22/2018,Taj Gibson,PF,Minnesota,LA Clippers,R,38.2,7,13,0,0,0,0,4,2,6,2,3,4,2,0,14
2017-2018 Regular Season,01/22/2018,Karl-Anthony Towns,C,Minnesota,LA Clippers,R,32.6,1,7,0,1,9,10,6,11,17,3,1,0,2,1,11
2017-2018 Regular Season,01/22/2018,Andrew Wiggins,SF,Minnesota,LA Clippers,R,41.0,16,28,3,7,5,8,2,4,6,1,2,0,3,1,40
2017-2018 Regular Season,01/22/2018,Jeff Teague,PG,Minnesota,LA Clippers,R,34.3,7,14,0,1,16,17,1,2,3,6,2,0,1,0,30
2017-2018 Regular Season,01/22/2018,Marcus Georges-Hunt,SG,Minnesota,LA Clippers,R,21.2,2,5,0,2,0,0,1,1,2,1,6,0,1,0,4
2017-2018 Regular Season,01/22/2018,Gorgui Dieng,PF,Minnesota,LA Clippers,R,15.4,0,2,0,0,0,0,1,1,2,0,1,0,1,2,0
2017-2018 Regular Season,01/22/2018,Tyus Jones,PG,Minnesota,LA Clippers,R,13.8,1,4,1,2,0,0,0,1,1,3,1,0,0,0,3
2017-2018 Regular Season,01/22/2018,Shabazz Muhammad,SF,Minnesota,LA Clippers,R,8.6,3,5,0,0,0,0,0,1,1,0,1,0,0,0,6
2017-2018 Regular Season,01/22/2018,Aaron Brooks,PG,Minnesota,LA Clippers,R,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018 Regular Season,01/22/2018,Wesley Johnson,SF,LA Clippers,Minnesota,H,30.0,4,9,1,2,0,0,0,1,1,0,3,0,1,0,9
2017-2018 Regular Season,01/22/2018,Blake Griffin,PF,LA Clippers,Minnesota,H,36.7,13,21,2,8,4,7,1,10,11,12,4,1,4,0,32
2017-2018 Regular Season,01/22/2018,Willie Reed,PF,LA Clippers,Minnesota,H,16.4,4,5,0,0,0,0,0,3,3,0,2,0,1,0,8
2017-2018 Regular Season,01/22/2018,Tyrone Wallace,SG,LA Clippers,Minnesota,H,31.7,3,5,0,0,1,3,0,4,4,5,5,0,1,0,7
2017-2018 Regular Season,01/22/2018,Milos Teodosic,PG,LA Clippers,Minnesota,H,27.9,5,9,3,6,2,2,0,3,3,6,4,1,3,0,15
2017-2018 Regular Season,01/22/2018,Lou Williams,SG,LA Clippers,Minnesota,H,35.6,8,15,3,9,1,2,0,3,3,7,3,0,4,0,20
2017-2018 Regular Season,01/22/2018,Montrezl Harrell,PF,LA Clippers,Minnesota,H,31.4,8,14,0,1,7,8,5,2,7,0,5,1,1,0,23
2017-2018 Regular Season,01/22/2018,Sindarius Thornwell,SG,LA Clippers,Minnesota,H,18.9,1,3,0,0,0,0,0,5,5,0,1,1,2,1,2
2017-2018 Regular Season,01/22/2018,Sam Dekker,SF,LA Clippers,Minnesota,H,11.3,1,3,0,1,0,0,2,1,3,1,0,0,0,0,2
2017-2018 Regular Season,01/23/2018,Bogdan Bogdanovic,SG,Sacramento,Orlando,R,33.0,4,12,0,4,0,0,0,4,4,4,3,0,5,0,8
2017-2018 Regular Season,01/23/2018,Willie Cauley-Stein,C,Sacramento,Orlando,R,32.7,9,18,0,0,3,4,5,4,9,4,2,1,1,5,21
2017-2018 Regular Season,01/23/2018,Skal Labissiere,PF,Sacramento,Orlando,R,23.0,3,5,0,0,4,5,1,8,9,3,0,0,1,3,10
2017-2018 Regular Season,01/23/2018,Vince Carter,SG,Sacramento,Orlando,R,29.4,1,7,0,4,2,2,0,1,1,6,1,3,1,0,4
2017-2018 Regular Season,01/23/2018,De'Aaron Fox,PG,Sacramento,Orlando,R,10.5,3,6,1,1,0,0,1,0,1,0,1,0,0,0,7
2017-2018 Regular Season,01/23/2018,Georgios Papagiannis,C,Sacramento,Orlando,R,3.1,0,2,0,0,0,0,1,1,2,0,0,0,1,1,0
2017-2018 Regular Season,01/23/2018,Garrett Temple,SG,Sacramento,Orlando,R,40.2,14,17,4,7,2,2,1,1,2,5,3,0,2,0,34
2017-2018 Regular Season,01/23/2018,Justin Jackson,SF,Sacramento,Orlando,R,24.7,2,4,0,2,0,0,0,8,8,0,1,0,1,0,4
2017-2018 Regular Season,01/23/2018,Buddy Hield,SG,Sacramento,Orlando,R,28.3,5,10,3,6,0,0,1,4,5,2,3,4,2,1,13
2017-2018 Regular Season,01/23/2018,Malachi Richardson,SG,Sacramento,Orlando,R,15.2,2,6,0,2,0,0,1,2,3,0,1,1,0,1,4
2017-2018 Regular Season,01/23/2018,Jonathon Simmons,SG,Orlando,Sacramento,H,34.9,5,9,3,5,1,1,0,4,4,2,2,0,1,0,14
2017-2018 Regular Season,01/23/2018,Aaron Gordon,SF,Orlando,Sacramento,H,35.2,6,17,2,7,2,3,4,8,12,2,3,1,7,0,16
2017-2018 Regular Season,01/23/2018,Bismack Biyombo,C,Orlando,Sacramento,H,28.0,2,5,0,0,0,0,2,4,6,3,6,0,2,4,4
2017-2018 Regular Season,01/23/2018,Evan Fournier,SG,Orlando,Sacramento,H,38.1,7,17,2,10,6,6,0,2,2,4,1,0,1,0,22
2017-2018 Regular Season,01/23/2018,Elfrid Payton,PG,Orlando,Sacramento,H,33.6,9,14,1,1,2,3,2,5,7,7,2,3,3,0,21
2017-2018 Regular Season,01/23/2018,Shelvin Mack,PG,Orlando,Sacramento,H,12.1,1,3,0,1,2,2,0,1,1,0,1,0,0,0,4
2017-2018 Regular Season,01/23/2018,D.J. Augustin,PG,Orlando,Sacramento,H,16.3,3,6,2,3,2,2,1,1,2,3,0,2,1,0,10
2017-2018 Regular Season,01/23/2018,Marreese Speights,C,Orlando,Sacramento,H,6.6,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0
2017-2018 Regular Season,01/23/2018,Mario Hezonja,SF,Orlando,Sacramento,H,12.9,1,4,0,1,0,0,0,0,0,0,1,2,1,0,2
2017-2018 Regular Season,01/23/2018,Wes Iwundu,SG,Orlando,Sacramento,H,9.0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,3
2017-2018 Regular Season,01/23/2018,Khem Birch,C,Orlando,Sacramento,H,13.4,1,4,0,0,1,2,2,4,6,1,1,1,0,0,3
2017-2018 Regular Season,01/23/2018,DeMarre Carroll,SF,Brooklyn,Oklahoma City,R,29.0,3,11,3,8,4,6,0,3,3,2,0,0,2,0,13
2017-2018 Regular Season,01/23/2018,Rondae Hollis-Jefferson,SF,Brooklyn,Oklahoma City,R,27.4,4,9,0,1,3,4,1,5,6,3,1,0,1,0,11
2017-2018 Regular Season,01/23/2018,Tyler Zeller,C,Brooklyn,Oklahoma City,R,15.0,2,3,0,0,0,0,1,2,3,1,4,0,0,2,4
2017-2018 Regular Season,01/23/2018,Allen Crabbe,SG,Brooklyn,Oklahoma City,R,31.6,5,13,2,8,0,0,0,6,6,1,3,1,1,0,12
2017-2018 Regular Season,01/23/2018,Spencer Dinwiddie,PG,Brooklyn,Oklahoma City,R,28.7,4,9,3,6,2,2,0,3,3,7,5,0,3,0,13
2017-2018 Regular Season,01/23/2018,Joe Harris,SG,Brooklyn,Oklahoma City,R,23.3,7,10,5,5,0,0,0,0,0,1,2,0,1,1,19
2017-2018 Regular Season,01/23/2018,D'Angelo Russell,PG,Brooklyn,Oklahoma City,R,14.8,2,6,1,4,2,2,1,1,2,4,2,0,2,0,7
2017-2018 Regular Season,01/23/2018,Quincy Acy,PF,Brooklyn,Oklahoma City,R,18.0,3,6,1,4,0,0,1,4,5,0,1,0,0,0,7
2017-2018 Regular Season,01/23/2018,Jarrett Allen,C,Brooklyn,Oklahoma City,R,23.3,4,6,1,1,3,6,4,7,11,1,3,0,0,1,12
2017-2018 Regular Season,01/23/2018,Caris LeVert,SG,Brooklyn,Oklahoma City,R,19.3,2,4,0,1,2,3,0,5,5,6,3,0,2,0,6
2017-2018 Regular Season,01/23/2018,Jahlil Okafor,C,Brooklyn,Oklahoma City,R,9.7,1,2,0,0,2,2,0,1,1,1,1,0,0,1,4
2017-2018 Regular Season,01/23/2018,Paul George,SF,Oklahoma City,Brooklyn,H,37.1,9,20,1,7,9,11,2,7,9,1,3,0,0,0,28
2017-2018 Regular Season,01/23/2018,Carmelo Anthony,SF,Oklahoma City,Brooklyn,H,32.8,4,12,0,2,2,2,2,6,8,0,2,0,0,1,10
2017-2018 Regular Season,01/23/2018,Steven Adams,C,Oklahoma City,Brooklyn,H,34.3,3,12,0,0,0,2,9,5,14,0,3,3,1,0,6
2017-2018 Regular Season,01/23/2018,Andre Roberson,SF,Oklahoma City,Brooklyn,H,28.5,1,2,0,0,1,4,2,4,6,0,2,0,0,1,3
2017-2018 Regular Season,01/23/2018,Russell Westbrook,PG,Oklahoma City,Brooklyn,H,36.4,12,27,0,4,8,11,1,4,5,6,2,1,1,0,32
2017-2018 Regular Season,01/23/2018,Jerami Grant,SF,Oklahoma City,Brooklyn,H,11.8,1,3,0,1,0,0,0,3,3,0,1,0,0,0,2
2017-2018 Regular Season,01/23/2018,Terrance Ferguson,SG,Oklahoma City,Brooklyn,H,14.2,1,5,1,5,2,2,0,0,0,1,1,0,0,2,5
2017-2018 Regular Season,01/23/2018,Raymond Felton,PG,Oklahoma City,Brooklyn,H,16.9,6,8,2,2,0,0,0,2,2,4,1,1,1,0,14
2017-2018 Regular Season,01/23/2018,Patrick Patterson,PF,Oklahoma City,Brooklyn,H,17.2,2,3,2,2,0,0,0,1,1,0,2,2,1,0,6
2017-2018 Regular Season,01/23/2018,Josh Huestis,SF,Oklahoma City,Brooklyn,H,10.9,1,2,1,2,0,0,0,2,2,0,1,0,0,0,3
2017-2018 Regular Season,01/23/2018,LeBron James,SF,Cleveland,San Antonio,R,38.0,10,23,2,6,6,10,2,7,9,7,0,0,5,1,28
2017-2018 Regular Season,01/23/2018,Jae Crowder,SF,Cleveland,San Antonio,R,31.6,4,6,3,4,2,2,0,4,4,0,2,0,0,0,13
2017-2018 Regular Season,01/23/2018,Kevin Love,PF,Cleveland,San Antonio,R,26.5,4,8,0,1,2,2,0,11,11,0,3,1,0,0,10
2017-2018 Regular Season,01/23/2018,JR Smith,SG,Cleveland,San Antonio,R,28.6,0,4,0,3,0,0,0,2,2,2,1,0,2,1,0
2017-2018 Regular Season,01/23/2018,Isaiah Thomas,PG,Cleveland,San Antonio,R,28.0,3,9,0,2,8,9,1,0,1,2,1,1,3,0,14
2017-2018 Regular Season,01/23/2018,Iman Shumpert,SG,Cleveland,San Antonio,R,5.6,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0
2017-2018 Regular Season,01/23/2018,Tristan Thompson,C,Cleveland,San Antonio,R,19.3,3,4,0,0,2,2,0,1,1,1,2,1,0,0,8
2017-2018 Regular Season,01/23/2018,Dwyane Wade,SG,Cleveland,San Antonio,R,17.5,6,8,0,0,0,0,1,5,6,2,1,2,2,0,12
2017-2018 Regular Season,01/23/2018,Jeff Green,SF,Cleveland,San Antonio,R,16.4,3,4,0,0,2,2,2,2,4,0,2,1,2,0,8
2017-2018 Regular Season,01/23/2018,Kyle Korver,SG,Cleveland,San Antonio,R,14.3,1,4,1,4,0,0,0,1,1,4,0,0,0,0,3
2017-2018 Regular Season,01/23/2018,Derrick Rose,PG,Cleveland,San Antonio,R,13.0,1,1,0,0,4,4,0,0,0,1,0,0,4,1,6
2017-2018 Regular Season,01/23/2018,Cedi Osman,SF,Cleveland,San Antonio,R,1.3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2017-2018 Regular Season,01/23/2018,Kyle Anderson,SG,San Antonio,Cleveland,H,33.7,5,10,0,0,0,0,3,9,12,5,3,1,0,1,10
2017-2018 Regular Season,01/23/2018,LaMarcus Aldridge,PF,San Antonio,Cleveland,H,40.7,12,18,0,1,6,7,3,5,8,3,0,2,2,1,30
2017-2018 Regular Season,01/23/2018,Davis Bertans,PF,San Antonio,Cleveland,H,29.5,4,9,2,7,3,3,0,5,5,3,2,1,0,0,13
2017-2018 Regular Season,01/23/2018,Danny Green,SG,San Antonio,Cleveland,H,29.7,3,11,1,7,0,0,1,4,5,2,3,0,1,2,7
2017-2018 Regular Season,01/23/2018,Dejounte Murray,PG,San Antonio,Cleveland,H,29.8,8,15,0,0,3,4,4,6,10,3,4,7,4,0,19
2017-2018 Regular Season,01/23/2018,Bryn Forbes,SG,San Antonio,Cleveland,H,22.6,3,8,2,6,0,0,0,1,1,0,2,0,0,0,8
2017-2018 Regular Season,01/23/2018,Tony Parker,PG,San Antonio,Cleveland,H,18.3,7,12,0,1,0,0,0,0,0,6,1,0,1,0,14
2017-2018 Regular Season,01/23/2018,Joffrey Lauvergne,C,San Antonio,Cleveland,H,11.7,2,3,0,0,0,2,2,1,3,0,1,0,1,0,4
2017-2018 Regular Season,01/23/2018,Patty Mills,PG,San Antonio,Cleveland,H,19.7,3,7,3,5,0,0,0,0,0,1,2,0,0,0,9
2017-2018 Regular Season,01/23/2018,Brandon Paul,SG,San Antonio,Cleveland,H,3.5,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
2017-2018 Regular Season,01/23/2018,Darrun Hilliard,SG,San Antonio,Cleveland,H,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018 Regular Season,01/23/2018,Tim Hardaway Jr.,SG,New York,Golden State,R,34.8,4,12,1,6,2,2,0,5,5,4,1,0,1,0,11
2017-2018 Regular Season,01/23/2018,Michael Beasley,SF,New York,Golden State,R,35.3,8,15,0,1,5,5,1,3,4,4,4,0,0,0,21
2017-2018 Regular Season,01/23/2018,Enes Kanter,C,New York,Golden State,R,25.9,6,12,0,0,4,4,1,8,9,5,5,0,3,0,16
2017-2018 Regular Season,01/23/2018,Courtney Lee,SG,New York,Golden State,R,38.4,8,13,2,6,2,4,1,4,5,2,2,1,1,0,20
2017-2018 Regular Season,01/23/2018,Jarrett Jack,PG,New York,Golden State,R,28.9,4,9,3,3,2,2,0,2,2,6,2,1,2,0,13
2017-2018 Regular Season,01/23/2018,Lance Thomas,PF,New York,Golden State,R,20.2,3,7,2,4,0,0,1,4,5,0,1,0,0,0,8
2017-2018 Regular Season,01/23/2018,Willy Hernangomez,C,New York,Golden State,R,17.6,3,4,0,0,2,2,1,2,3,5,0,1,2,0,8
2017-2018 Regular Season,01/23/2018,Frank Ntilikina,PG,New York,Golden State,R,19.1,3,7,0,1,0,0,1,1,2,1,3,0,1,0,6
2017-2018 Regular Season,01/23/2018,Doug McDermott,SF,New York,Golden State,R,11.3,1,1,1,1,0,0,0,1,1,0,2,0,1,0,3
2017-2018 Regular Season,01/23/2018,Joakim Noah,C,New York,Golden State,R,4.5,1,1,0,0,0,0,0,1,1,0,0,0,1,0,2
2017-2018 Regular Season,01/23/2018,Ron Baker,SG,New York,Golden State,R,2.1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
2017-2018 Regular Season,01/23/2018,Trey Burke,PG,New York,Golden State,R,2.1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,4
2017-2018 Regular Season,01/23/2018,Kevin Durant,SF,Golden State,New York,H,32.5,4,10,2,5,4,4,1,3,4,14,3,2,5,2,14
2017-2018 Regular Season,01/23/2018,Draymond Green,PF,Golden State,New York,H,32.7,5,9,2,3,0,0,0,5,5,6,2,1,1,1,12
2017-2018 Regular Season,01/23/2018,Zaza Pachulia,C,Golden State,New York,H,14.2,5,6,0,0,3,3,0,4,4,0,1,1,1,0,13
2017-2018 Regular Season,01/23/2018,Klay Thompson,SG,Golden State,New York,H,34.1,4,10,0,3,1,2,0,2,2,4,2,0,0,0,9
2017-2018 Regular Season,01/23/2018,Stephen Curry,PG,Golden State,New York,H,33.3,9,19,8,15,6,6,0,6,6,7,2,0,1,0,32
2017-2018 Regular Season,01/23/2018,Kevon Looney,PF,Golden State,New York,H,15.2,4,5,0,0,0,0,1,3,4,2,2,1,0,0,8
2017-2018 Regular Season,01/23/2018,Andre Iguodala,SF,Golden State,New York,H,20.1,2,2,0,0,1,2,0,3,3,2,3,0,1,0,5
2017-2018 Regular Season,01/23/2018,Nick Young,SG,Golden State,New York,H,17.0,2,5,1,4,0,0,0,0,0,0,1,0,0,0,5
2017-2018 Regular Season,01/23/2018,Shaun Livingston,PG,Golden State,New York,H,12.7,4,8,0,0,1,1,0,2,2,1,0,1,0,0,9
2017-2018 Regular Season,01/23/2018,David West,PF,Golden State,New York,H,15.4,5,6,0,0,2,2,0,4,4,4,0,0,0,0,12
2017-2018 Regular Season,01/23/2018,Patrick McCaw,SG,Golden State,New York,H,8.8,1,1,0,0,0,0,0,1,1,0,0,0,1,0,2
2017-2018 Regular Season,01/23/2018,Omri Casspi,SF,Golden State,New York,H,2.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-2018 Regular Season,01/23/2018,JaVale McGee,C,Golden State,New York,H,2.1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,2
2017-2018 Regular Season,01/23/2018,Jayson Tatum,SF,Boston,LA Lakers,R,30.6,1,6,1,3,1,2,0,5,5,0,4,0,3,0,4
2017-2018 Regular Season,01/23/2018,Aron Baynes,C,Boston,LA Lakers,R,10.6,0,3,0,1,0,0,0,2,2,0,5,0,2,1,0
2017-2018 Regular Season,01/23/2018,Al Horford,C,Boston,LA Lakers,R,31.8,5,11,3,5,0,0,3,9,12,6,4,0,1,2,13
2017-2018 Regular Season,01/23/2018,Jaylen Brown,SF,Boston,LA Lakers,R,25.7,4,11,1,5,0,0,0,2,2,2,2,1,0,0,9
2017-2018 Regular Season,01/23/2018,Kyrie Irving,PG,Boston,LA Lakers,R,38.4,13,24,4,11,3,3,0,3,3,4,1,0,1,0,33
2017-2018 Regular Season,01/23/2018,Marcus Morris,SF,Boston,LA Lakers,R,26.3,6,11,1,4,0,1,0,7,7,0,1,0,1,2,13
2017-2018 Regular Season,01/23/2018,Marcus Smart,PG,Boston,LA Lakers,R,33.5,7,13,4,10,4,4,0,2,2,8,5,1,1,0,22
2017-2018 Regular Season,01/23/2018,Daniel Theis,PF,Boston,LA Lakers,R,15.9,2,3,0,1,0,0,3,2,5,2,1,0,2,0,4
2017-2018 Regular Season,01/23/2018,Terry Rozier,PG,Boston,LA Lakers,R,23.8,4,7,1,3,0,0,1,2,3,0,2,1,0,0,9
2017-2018 Regular Season,01/23/2018,Jarell Eddie,SG,Boston,LA Lakers,R,3.6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2017-2018 Regular Season,01/23/2018,Brandon Ingram,SF,LA Lakers,Boston,H,33.0,2,11,0,1,3,4,2,7,9,4,1,1,3,1,7
2017-2018 Regular Season,01/23/2018,Julius Randle,PF,LA Lakers,Boston,H,26.2,6,12,0,0,2,3,5,9,14,1,3,1,2,0,14
2017-2018 Regular Season,01/23/2018,Brook Lopez,C,LA Lakers,Boston,H,14.6,5,10,0,4,2,3,1,1,2,0,2,0,1,1,12
2017-2018 Regular Season,01/23/2018,Kentavious Caldwell-Pope,SG,LA Lakers,Boston,H,23.8,2,8,2,6,2,4,1,3,4,1,1,0,0,0,8
2017-2018 Regular Season,01/23/2018,Tyler Ennis,PG,LA Lakers,Boston,H,13.6,1,4,0,0,0,0,0,2,2,1,3,0,0,0,2
2017-2018 Regular Season,01/23/2018,Jordan Clarkson,SG,LA Lakers,Boston,H,34.4,8,17,0,4,6,7,3,2,5,4,1,2,2,0,22
2017-2018 Regular Season,01/23/2018,Alex Caruso,SG,LA Lakers,Boston,H,18.7,0,4,0,2,0,2,0,0,0,1,1,1,0,0,0
2017-2018 Regular Season,01/23/2018,Kyle Kuzma,PF,LA Lakers,Boston,H,26.6,10,16,5,7,3,5,1,3,4,3,0,0,0,0,28
2017-2018 Regular Season,01/23/2018,Larry Nance Jr.,PF,LA Lakers,Boston,H,26.0,4,5,0,0,3,6,0,9,9,2,3,1,2,0,11
2017-2018 Regular Season,01/23/2018,Josh Hart,SG,LA Lakers,Boston,H,23.1,2,4,0,2,0,2,1,1,2,1,1,0,0,0,4
2017-2018 Regular Season,01/24/2018,E'Twaun Moore,SG,New Orleans,Charlotte,R,32.9,4,12,1,4,2,2,1,2,3,3,3,1,1,0,11
2017-2018 Regular Season,01/24/2018,Anthony Davis,PF,New Orleans,Charlotte,R,36.7,7,16,0,0,5,5,1,5,6,4,3,3,1,2,19
2017-2018 Regular Season,01/24/2018,DeMarcus Cousins,C,New Orleans,Charlotte,R,30.0,5,10,2,5,4,7,1,12,13,5,4,1,8,5,16
2017-2018 Regular Season,01/24/2018,Jrue Holiday,PG,New Orleans,Charlotte,R,34.3,8,15,0,3,3,4,1,4,5,4,2,0,1,1,19
2017-2018 Regular Season,01/24/2018,Rajon Rondo,PG,New Orleans,Charlotte,R,15.3,4,8,1,2,0,0,1,0,1,5,1,0,3,1,9
2017-2018 Regular Season,01/24/2018,Dante Cunningham,SF,New Orleans,Charlotte,R,21.5,4,7,1,1,0,0,1,6,7,0,1,1,0,0,9
2017-2018 Regular Season,01/24/2018,Darius Miller,SF,New Orleans,Charlotte,R,31.1,3,7,2,5,0,0,1,2,3,2,2,0,0,0,8
2017-2018 Regular Season,01/24/2018,Ian Clark,SG,New Orleans,Charlotte,R,12.3,1,5,0,1,0,0,0,0,0,1,1,0,0,0,2
2017-2018 Regular Season,01/24/2018,Jameer Nelson,PG,New Orleans,Charlotte,R,16.6,3,7,2,5,0,0,0,1,1,2,2,0,0,0,8
2017-2018 Regular Season,01/24/2018,DeAndre Liggins,SG,New Orleans,Charlotte,R,5.3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
2017-2018 Regular Season,01/24/2018,Omer Asik,C,New Orleans,Charlotte,R,4.2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
2017-2018 Regular Season,01/24/2018,Michael Kidd-Gilchrist,SF,Charlotte,New Orleans,H,22.6,3,3,0,0,1,2,0,2,2,0,4,1,1,0,7
2017-2018 Regular Season,01/24/2018,Marvin Williams,PF,Charlotte,New Orleans,H,35.6,6,14,1,5,1,2,3,11,14,0,6,1,2,1,14
2017-2018 Regular Season,01/24/2018,Dwight Howard,C,Charlotte,New Orleans,H,36.8,9,16,0,0,4,7,3,13,16,0,3,1,2,3,22
2017-2018 Regular Season,01/24/2018,Nicolas Batum,SG,Charlotte,New Orleans,H,30.4,2,8,1,2,2,4,1,2,3,5,2,2,1,1,7
2017-2018 Regular Season,01/24/2018,Kemba Walker,PG,Charlotte,New Orleans,H,33.7,8,21,3,8,1,2,0,5,5,7,1,0,6,1,20
2017-2018 Regular Season,01/24/2018,Frank Kaminsky,C,Charlotte,New Orleans,H,21.0,4,6,1,1,7,12,2,3,5,1,1,0,2,0,16
2017-2018 Regular Season,01/24/2018,Jeremy Lamb,SG,Charlotte,New Orleans,H,23.9,4,11,0,2,0,0,0,2,2,2,0,0,0,0,8
2017-2018 Regular Season,01/24/2018,Michael Carter-Williams,PG,Charlotte,New Orleans,H,14.3,0,3,0,1,2,2,1,0,1,1,2,0,0,0,2
2017-2018 Regular Season,01/24/2018,Treveon Graham,SG,Charlotte,New Orleans,H,19.1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
2017-2018 Regular Season,01/24/2018,Johnny O'Bryant III,PF,Charlotte,New Orleans,H,2.6,0,1,0,1,0,0,0,1,1,0,3,0,0,0,0
2017-2018 Regular Season,01/24/2018,Joe Ingles,SF,Utah,Detroit,R,36.0,5,10,3,7,0,0,0,1,1,7,1,2,1,0,13
2017-2018 Regular Season,01/24/2018,Derrick Favors,PF,Utah,Detroit,R,24.4,4,11,0,0,0,0,3,7,10,0,3,4,2,3,8
2017-2018 Regular Season,01/24/2018,Rudy Gobert,C,Utah,Detroit,R,38.0,6,13,0,0,3,6,3,5,8,1,3,0,0,4,15
2017-2018 Regular Season,01/24/2018,Donovan Mitchell,SG,Utah,Detroit,R,43.3,6,21,1,6,2,2,1,3,4,5,2,2,4,1,15
2017-2018 Regular Season,01/24/2018,Ricky Rubio,PG,Utah,Detroit,R,37.5,4,8,1,3,2,2,1,9,10,5,2,1,3,0,11
2017-2018 Regular Season,01/24/2018,Jonas Jerebko,PF,Utah,Detroit,R,17.4,2,9,1,4,0,0,0,2,2,0,2,1,2,0,5
2017-2018 Regular Season,01/24/2018,Alec Burks,SG,Utah,Detroit,R,15.1,3,6,0,1,3,4,0,2,2,1,1,0,2,0,9
2017-2018 Regular Season,01/24/2018,Joe Johnson,SF,Utah,Detroit,R,26.1,5,9,1,4,0,0,1,2,3,3,0,0,0,0,11
2017-2018 Regular Season,01/24/2018,Royce O'Neale,SF,Utah,Detroit,R,16.8,1,6,1,4,2,2,0,2,2,2,0,1,0,0,5
2017-2018 Regular Season,01/24/2018,Raul Neto,PG,Utah,Detroit,R,10.5,2,3,2,2,0,0,0,2,2,0,1,0,0,1,6
2017-2018 Regular Season,01/24/2018,Stanley Johnson,SF,Detroit,Utah,H,38.9,3,12,1,7,0,0,1,4,5,4,3,1,2,1,7
2017-2018 Regular Season,01/24/2018,Tobias Harris,PF,Detroit,Utah,H,40.2,6,17,1,5,0,0,0,3,3,2,1,1,2,0,13
2017-2018 Regular Season,01/24/2018,Andre Drummond,C,Detroit,Utah,H,39.5,11,17,0,1,8,12,8,16,24,4,4,3,5,6,30
2017-2018 Regular Season,01/24/2018,Avery Bradley,SG,Detroit,Utah,H,40.7,3,11,0,4,0,0,1,1,2,0,1,2,1,0,6
2017-2018 Regular Season,01/24/2018,Langston Galloway,PG,Detroit,Utah,H,20.4,2,7,1,3,0,0,1,1,2,4,0,0,0,0,5
2017-2018 Regular Season,01/24/2018,Ish Smith,PG,Detroit,Utah,H,32.5,6,17,1,3,1,3,1,1,2,3,3,2,2,0,14
2017-2018 Regular Season,01/24/2018,Luke Kennard,SG,Detroit,Utah,H,26.3,3,9,1,5,3,3,3,7,10,4,0,0,3,0,10
2017-2018 Regular Season,01/24/2018,Boban Marjanovic,C,Detroit,Utah,H,13.5,2,4,0,0,0,0,0,6,6,1,2,1,2,0,4
2017-2018 Regular Season,01/24/2018,Anthony Tolliver,PF,Detroit,Utah,H,13.0,2,3,2,3,0,0,0,3,3,1,2,0,2,0,6
2017-2018 Regular Season,01/24/2018,TJ Warren,SF,Phoenix,Indiana,R,23.5,5,12,0,1,0,1,1,1,2,0,4,1,1,1,10
2017-2018 Regular Season,01/24/2018,Dragan Bender,PF,Phoenix,Indiana,R,23.1,0,3,0,3,0,0,0,4,4,3,3,0,0,0,0
2017-2018 Regular Season,01/24/2018,Tyson Chandler,C,Phoenix,Indiana,R,10.1,1,1,0,0,0,0,0,0,0,0,4,0,4,0,2
2017-2018 Regular Season,01/24/2018,Devin Booker,SG,Phoenix,Indiana,R,26.0,5,16,0,4,9,9,2,4,6,4,1,0,3,0,19
2017-2018 Regular Season,01/24/2018,Tyler Ulis,PG,Phoenix,Indiana,R,20.8,2,6,1,3,0,1,0,1,1,3,2,0,0,0,5
2017-2018 Regular Season,01/24/2018,Greg Monroe,C,Phoenix,Indiana,R,29.4,7,11,0,0,2,3,5,12,17,1,3,1,3,1,16
2017-2018 Regular Season,01/24/2018,Isaiah Canaan,SG,Phoenix,Indiana,R,22.3,2,9,1,5,0,2,1,2,3,4,2,0,2,0,5
2017-2018 Regular Season,01/24/2018,Jared Dudley,PF,Phoenix,Indiana,R,20.4,1,3,0,2,0,0,0,2,2,3,1,0,0,0,2
